2:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests,test_get_device_properties_tensor_device
746:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_amp_fft_hfftn_xpu_float32
747:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_amp_fft_irfft2_xpu_float32
748:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_amp_fft_irfftn_xpu_float32
749:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_out_ormqr_xpu_float32
750:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCompositeComplianceXPU,test_backward_nn_functional_conv_transpose3d_xpu_float32
753:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_out_triangular_solve_xpu_float32
754:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_amp_nn_functional_max_unpool2d_grad_xpu_float32
755:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_amp_nn_functional_max_unpool2d_xpu_float32
756:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCompositeComplianceXPU,test_cow_input_nn_functional_conv1d_xpu_float32
757:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCompositeComplianceXPU,test_cow_input_nn_functional_conv2d_xpu_float32
758:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCompositeComplianceXPU,test_cow_input_nn_functional_conv3d_xpu_float32
759:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCompositeComplianceXPU,test_cow_input_nn_functional_conv_transpose1d_xpu_float32
760:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCompositeComplianceXPU,test_cow_input_nn_functional_conv_transpose2d_xpu_float32
761:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCompositeComplianceXPU,test_cow_input_nn_functional_conv_transpose3d_xpu_float32
762:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_addmm_decomposed_xpu
763:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_addmm_xpu
764:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_addmv_xpu
765:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_no_amp_fft_hfft2_xpu_float32
766:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_no_amp_fft_hfftn_xpu_float32
767:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_no_amp_fft_irfft2_xpu_float32
768:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_no_amp_fft_irfftn_xpu_float32
769:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_baddbmm_xpu
770:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_python_ref__refs_true_divide_xpu_complex32
771:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_einsum_xpu
772:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_python_ref_executor__refs_true_divide_executor_aten_xpu_complex32
774:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_no_amp_nn_functional_max_unpool2d_grad_xpu_float32
775:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_histogram_xpu
776:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_no_amp_nn_functional_max_unpool2d_xpu_float32
777:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_logaddexp_xpu
779:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_dtypes_mm_xpu
